videoId,author,comment,likeCount,publishedAt
nFz9joMjPUU,@srisri1965,Attitude star,1,2024-09-10T08:03:35Z
nFz9joMjPUU,@rachelsireesha6693,"Anchor ji, meeku vizag lo clothes show room undhi kada? I have seen you somewhere... However i guess i am right about this...",1,2024-09-10T06:50:25Z
M3ofIVGaqeo,@nidadavolusrinivas8029,❤❤❤,4,2024-10-02T08:44:45Z
M3ofIVGaqeo,@ramuvenkata7459,Super mam,5,2024-08-07T04:22:06Z
M3ofIVGaqeo,@suvarnaprathapreddymula4231,Thank you mam 👍👍👍👍👏👏👏🙏🙏🙏,25,2024-08-04T17:06:10Z
M3ofIVGaqeo,@sitharam1223,Yes,6,2024-04-09T03:32:27Z
M3ofIVGaqeo,@DS-dt8si,"Every Rule has  "" A practical reason"" behind it.  You can make rules & break rules as per your Practicality to move on.",310,2024-04-09T03:16:40Z
M3ofIVGaqeo,@renjarlaashok8795,Madam interview chesi podcasts ki respect pencharu,6,2024-04-09T03:03:54Z
M3ofIVGaqeo,@Tony-xp3mt,"ఆడవాళ్ళు అహ్ సమయంలో వాళ్ళు infection కి గురి కాకుండా ఉండటానికి పెట్టారు, పీరియడ్స్ టైం లో ఆఫీస్ ల లో వెళ్లిన వాళ్ళు ఎంత ఇబ్బంది పడతారు? అలా అని అంటారని వాళ్ళు అని అర్థమా? భారతీయ సంస్కృతి అంటేనే ఈ మధ్య తప్పు అయిపోయింది.",2,2024-04-09T02:20:51Z
M3ofIVGaqeo,@visaconsultant1110,Culture is culture u can't change tradition,23,2024-04-08T23:22:46Z
M3ofIVGaqeo,@leelasankarkogili2978,Well said madam,10,2024-04-08T22:40:08Z
M3ofIVGaqeo,@chikki2591,i love this interview,3,2024-04-08T20:30:12Z
M3ofIVGaqeo,@naninarendra8936,అందుకే హిందువుని లేకుండా చేస్తాం మా జగన్ మావయ్య చేసే పని అదే దయచేసి జగన్మాతకు ఓటెయ్యండి,3,2024-04-08T19:09:21Z
